"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1939590544382144535","https://twitter.com/nekosukexx/status/1939590544382144535","@pochi_tenshoku まさにですよね・・・！","2025-06-30 07:43 +0000","2.0","1.0","0.5","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939547129497682221","https://twitter.com/nekosukexx/status/1939547129497682221","@YOLOshin1114 マジでそれですね！","2025-06-30 04:50 +0000","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939479323981062381","https://twitter.com/nekosukexx/status/1939479323981062381","@10_nissy_10 そう思います！😎","2025-06-30 00:21 +0000","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939479270931472816","https://twitter.com/nekosukexx/status/1939479270931472816","@takumi_deveblog ありがとうございます、間違い無いですね😎","2025-06-30 00:21 +0000","0.0","0.0","NaN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939453680467743224","https://twitter.com/nekosukexx/status/1939453680467743224","@ryo_ryo_1008 間違いないです😎","2025-06-29 22:39 +0000","0.0","1.0","Infinity","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939447438114521160","https://twitter.com/nekosukexx/status/1939447438114521160","@kankitsunigate 貴重でした😎","2025-06-29 22:14 +0000","2.0","1.0","0.5","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939447380770005195","https://twitter.com/nekosukexx/status/1939447380770005195","@ray_load50 ですよね！😎","2025-06-29 22:14 +0000","2.0","1.0","0.5","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939429165394006259","https://twitter.com/nekosukexx/status/1939429165394006259","早稲田卒のシゴデキ上司に「これどう思います？」と相談したら、だいたい即答で、

「“やるべきかどうか”で迷ってる時点で、やった方がいいよ」

だった。大きなリスクがないなら、悩む時間の方がむしろムダだよね。","2025-06-29 21:02 +0000","100.0","206.0","2.06","19.0","6.0","179.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939292166079316309","https://twitter.com/nekosukexx/status/1939292166079316309","@bonbon_career まさにそのマトリクスですね😎","2025-06-29 11:57 +0000","0.0","0.0","NaN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1939292007618474309","https://twitter.com/nekosukexx/status/1939292007618474309","@otada_s たしかにおっしゃる通りかもです…🥺","2025-06-29 11:56 +0000","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
