"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1962285569737916677","https://twitter.com/nekosukexx/status/1962285569737916677","@blackcareer1988 馴染みがないと知らないですよね…！","2025-08-31 22:45 +0000","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962285523227336949","https://twitter.com/nekosukexx/status/1962285523227336949","@ray_load50 レイさん、いつもありがとうございます…！🔥","2025-08-31 22:45 +0000","37.0","1.0","0.02702702702702703","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962285457917788592","https://twitter.com/nekosukexx/status/1962285457917788592","@taisyokususume そうかもしれませんね……🥺","2025-08-31 22:44 +0000","61.0","2.0","0.03278688524590164","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962285402531999744","https://twitter.com/nekosukexx/status/1962285402531999744","@shunbz1205 生き残るベンチャーだと、意外と多いかもしれません！","2025-08-31 22:44 +0000","50.0","3.0","0.06","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962285244071264599","https://twitter.com/nekosukexx/status/1962285244071264599","@ryo_ryo_1008 それはありますね！","2025-08-31 22:43 +0000","30.0","1.0","0.03333333333333333","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962285210999074980","https://twitter.com/nekosukexx/status/1962285210999074980","@syakamotosatori 好条件でいい人を集めないと、ベンチャーはすぐに潰れますからね…！","2025-08-31 22:43 +0000","36.0","2.0","0.05555555555555555","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962284992576577656","https://twitter.com/nekosukexx/status/1962284992576577656","@magnuts_01 やってますよ😎","2025-08-31 22:42 +0000","27.0","1.0","0.037037037037037035","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962260103832445434","https://twitter.com/nekosukexx/status/1962260103832445434","𝕏には、 ”ベンチャーは一攫千金をねらう狂った人だけの場所” だと思ってる無知が多いけど、実際は、
・年収800~1,000万
・ほぼリモート
・残業は月20時間以内
みたいな ”ちょうど良い会社” も全然ある。

いまの私が完全にこれ。","2025-08-31 21:04 +0000","2127.0","74.0","0.034790785143394454","1.0","10.0","33.0","8.0","0.0","0.0","22.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1962014443703050525","https://twitter.com/nekosukexx/status/1962014443703050525","@range_works 確かに、その傾向もあるかもです！","2025-08-31 04:47 +0000","31.0","2.0","0.06451612903225806","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1961978572882821502","https://twitter.com/nekosukexx/status/1961978572882821502","@takumi_deveblog たくみさんを見てると、デベはむしろダークな印象になってますw","2025-08-31 02:25 +0000","78.0","2.0","0.02564102564102564","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
