"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1951041934182764904","https://twitter.com/nekosukexx/status/1951041934182764904","外資コンサルの友人、「健康診断で要再検査って出たけど、残業が多すぎて病院行けないw」と笑ってた。
健康を維持するどころか、健康か調べることも許されない会社ってどうなの…","2025-07-31 22:07 +0000","176.0","14.0","0.07954545454545454","0.0","1.0","13.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950481981227319446","https://twitter.com/nekosukexx/status/1950481981227319446","@blackcareer1988 社員50〜100名ぐらいまでは特にこれですね😎","2025-07-30 09:01 +0000","1.0","3.0","3.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950478994434035843","https://twitter.com/nekosukexx/status/1950478994434035843","@hirai_hira1 まさにそれですね！😎","2025-07-30 08:50 +0000","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950445333294522760","https://twitter.com/nekosukexx/status/1950445333294522760","@pochi_tenshoku ほんとソレですよね……🥺","2025-07-30 06:36 +0000","2.0","1.0","0.5","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950445264369484215","https://twitter.com/nekosukexx/status/1950445264369484215","@range_works よく聞きます…🥺","2025-07-30 06:36 +0000","2.0","1.0","0.5","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950445218538672159","https://twitter.com/nekosukexx/status/1950445218538672159","@ray_load50 まさにですね…！","2025-07-30 06:35 +0000","4.0","1.0","0.25","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950301052583956919","https://twitter.com/nekosukexx/status/1950301052583956919","気づいてない人も多いけど、ポンコツ上司が多い会社って、

「昇進してから、上司の役割を経験させる」

タイプの会社なんだよね。
逆に「昇進前に、上司の役割を少しずつ任せる」タイプの会社だと、本当に適正のある人が昇進する。

当然、後者の方が若手も成長できるよね。","2025-07-29 21:03 +0000","191.0","35.0","0.18324607329842932","0.0","6.0","29.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950224839941275679","https://twitter.com/nekosukexx/status/1950224839941275679","@nori_1nori まさにそう思います！","2025-07-29 16:00 +0000","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950122039420883325","https://twitter.com/nekosukexx/status/1950122039420883325","@hirai_hira1 そう思います！","2025-07-29 09:11 +0000","29.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1950121995053445191","https://twitter.com/nekosukexx/status/1950121995053445191","@hirai_hira1 マジでそれですね😎","2025-07-29 09:11 +0000","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
