code,driver,last_close,avg_volume_20d,updated_date
4385,unclassified,4372.0,1819970.0,2026-07-30
3405,unclassified,1881.5,1729135.0,2026-07-30
4183,unclassified,2111.5,1712640.0,2026-07-30
7731,unclassified,1840.0,1710285.0,2026-07-30
1963,unclassified,2227.5,1708890.0,2026-07-30
5301,unclassified,1528.0,1681225.0,2026-07-30
7912,unclassified,2938.0,1670425.0,2026-07-30
6770,unclassified,2242.5,1624495.0,2026-07-30
7911,unclassified,4345.0,1560915.0,2026-07-30
1332,unclassified,1295.5,1490055.0,2026-07-30
4324,unclassified,3763.0,1479975.0,2026-07-30
9007,unclassified,1816.5,1463900.0,2026-07-30
5711,unclassified,3971.0,1461115.0,2026-07-30
2501,unclassified,2080.0,1456290.0,2026-07-30
8304,unclassified,3050.0,1346160.0,2026-07-30
9064,unclassified,2139.0,1288175.0,2026-07-30
4042,unclassified,2681.0,1281375.0,2026-07-30
3086,unclassified,2994.5,1274885.0,2026-07-30
2432,unclassified,2507.5,1203665.0,2026-07-30
6473,unclassified,2101.0,1184935.0,2026-07-30
4151,unclassified,2650.0,1083285.0,2026-07-30
8804,unclassified,3495.0,1058470.0,2026-07-30
2269,unclassified,3948.0,943955.0,2026-07-30
1808,unclassified,2833.0,858025.0,2026-07-30
8252,unclassified,3039.0,855390.0,2026-07-30
4208,unclassified,3165.0,839490.0,2026-07-30
7004,unclassified,1175.0,813815.0,2026-07-30
3401,unclassified,1654.0,750095.0,2026-07-30
4043,unclassified,3801.0,734025.0,2026-07-30
2002,unclassified,2113.5,728125.0,2026-07-30
8253,unclassified,4580.0,722640.0,2026-07-30
4061,unclassified,3259.0,669315.0,2026-07-30
5233,unclassified,4174.0,570285.0,2026-07-30
9001,unclassified,3141.0,557580.0,2026-07-30
6103,unclassified,4820.0,488060.0,2026-07-30
