code,last_close,avg_vol_20d,avg_turnover_20d
7532,941.4,10099105.0,8907953269.5
7731,1840.0,1710285.0,3707113542.5
7733,1857.5,4122560.0,7317436110.0
7735,11980.0,3744365.0,61309156950.0
7741,23840.0,1015675.0,25324802775.0
7751,4554.0,4123185.0,18347847700.0
7752,1641.5,2660360.0,4076436767.5
7832,4739.0,2341140.0,9875070045.0
7911,4345.0,1560915.0,7545268270.0
7912,2938.0,1670425.0,5201590242.5
7951,1268.5,1979310.0,2402119575.0
7974,8145.0,9353250.0,68305079920.0
8001,2023.5,13617575.0,26345241730.0
8002,5196.0,4414095.0,22485038110.0
8015,6625.0,2780445.0,17658626540.0
8031,4920.0,6505770.0,30922252190.0
8035,52240.0,4340605.0,285575189750.0
8053,1592.0,10939820.0,17320053757.5
8058,4777.0,7890405.0,36487455575.0
8233,2292.5,2014850.0,4732995952.5
8252,3039.0,855390.0,2549254850.0
8253,4580.0,722640.0,3345891455.0
8267,1423.0,10579205.0,14792595467.5
8304,3050.0,1346160.0,3989908612.5
8306,3525.0,43431520.0,154998384805.0
8308,2178.0,10017830.0,23054138237.5
8309,1672.0,2987380.0,17281127260.0
8316,6666.0,12830520.0,88599839325.0
8331,2608.0,2563985.0,6940288157.5
8354,7322.0,656470.0,4855118785.0
8411,7818.0,9770530.0,81166931830.0
8591,6315.0,3106910.0,20000398685.0
8601,1792.5,4696375.0,8417435732.5
8604,1470.0,11000415.0,17045375975.0
8630,7219.0,2659655.0,18075390295.0
8697,2164.0,4022830.0,8885343152.5
8725,4988.0,4838460.0,22537526345.0
8750,1898.0,10208310.0,19139159037.5
8766,8202.0,5198880.0,40745461120.0
8795,5020.0,1517085.0,7554067760.0
8801,1611.0,8190015.0,12768348002.5
8802,4081.0,3024730.0,12592943475.0
8804,3495.0,1058470.0,3622213995.0
8830,3703.0,2558060.0,9671255080.0
9001,3141.0,557580.0,1685285275.0
9005,1815.5,2225345.0,3890917210.0
9007,1816.5,1463900.0,2544198042.5
9008,831.6,2172800.0,1701514201.5
9009,1299.5,1915035.0,2398172000.0
9020,3820.0,3037845.0,11020996150.0
9021,3141.0,3210745.0,9479059205.0
9022,4174.0,3076800.0,11660672360.0
9064,2139.0,1288175.0,2597442042.5
9101,6101.0,2704075.0,15194728775.0
9104,5933.0,2340510.0,13017244040.0
9107,2861.5,4516675.0,12008447080.0
9147,5272.0,1100980.0,5957166985.0
9201,2978.5,3212900.0,9512334870.0
9202,3153.0,2720010.0,8379174950.0
9432,159.0,240069545.0,36371225537.5
9433,3051.0,8328715.0,23925430945.0
9434,232.0,80190370.0,17637564997.5
9501,524.0,34517870.0,17222091969.0
9502,2706.0,4504250.0,13515421460.0
9503,2450.5,3421580.0,7975658917.5
9531,6263.0,1035995.0,6349856680.0
9532,5519.0,886215.0,4832219055.0
9602,1581.5,5008175.0,7144257870.0
9735,7067.0,1344775.0,9066595560.0
9766,21840.0,611485.0,11869220950.0
9843,2635.5,3078755.0,7585888472.5
9983,78500.0,1260680.0,102507353750.0
9984,4622.0,52221515.0,299707997170.0
