code,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm
8001,伊藤忠商事,商社・卸売,卸売業,TOPIX Core30,プライム,貸借
8002,丸紅,商社・卸売,卸売業,TOPIX Large70,プライム,貸借
8005,スクロール,小売,小売業,TOPIX Small 2,プライム,貸借
8006,ユアサ・フナショク,商社・卸売,卸売業,-,スタンダード,貸借
8007,高島,商社・卸売,卸売業,-,プライム,貸借
8008,ヨンドシーホールディングス,小売,小売業,TOPIX Small 1,プライム,貸借
8011,三陽商会,素材・化学,繊維製品,TOPIX Small 2,プライム,貸借
8012,長瀬産業,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
8013,ナイガイ,素材・化学,繊維製品,-,スタンダード,貸借
8014,蝶理,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8015,豊田通商,商社・卸売,卸売業,TOPIX Large70,プライム,貸借
8016,オンワードホールディングス,素材・化学,繊維製品,TOPIX Small 1,プライム,貸借
8018,三共生興,商社・卸売,卸売業,TOPIX Small 2,スタンダード,貸借
8020,兼松,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
8022,美津濃,情報通信・サービスその他,その他製品,TOPIX Small 1,プライム,貸借
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,情報通信・サービスその他,情報･通信業,-,スタンダード,貸借
8025,ツカモトコーポレーション,商社・卸売,卸売業,-,スタンダード,信用
8029,ルックホールディングス,素材・化学,繊維製品,TOPIX Small 2,スタンダード,貸借
8030,中央魚類,商社・卸売,卸売業,-,スタンダード,貸借
8031,三井物産,商社・卸売,卸売業,TOPIX Core30,プライム,貸借
8032,日本紙パルプ商事,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8035,東京エレクトロン,電機・精密,電気機器,TOPIX Core30,プライム,貸借
8037,カメイ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8039,築地魚市場,商社・卸売,卸売業,-,スタンダード,貸借
8040,東京ソワール,素材・化学,繊維製品,-,スタンダード,信用
8041,ＯＵＧホールディングス,商社・卸売,卸売業,-,スタンダード,貸借
8043,スターゼン,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8045,横浜丸魚,商社・卸売,卸売業,-,スタンダード,信用
8046,丸藤シートパイル,商社・卸売,卸売業,-,スタンダード,貸借
8050,セイコーグループ,電機・精密,精密機器,TOPIX Small 1,プライム,貸借
8051,山善,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8052,椿本興業,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8053,住友商事,商社・卸売,卸売業,TOPIX Large70,プライム,貸借
8056,ＢＩＰＲＯＧＹ,情報通信・サービスその他,情報･通信業,TOPIX Mid400,プライム,貸借
8057,内田洋行,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8058,三菱商事,商社・卸売,卸売業,TOPIX Core30,プライム,貸借
8059,第一実業,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8060,キヤノンマーケティングジャパン,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
8061,西華産業,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8065,佐藤商事,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8066,三谷商事,商社・卸売,卸売業,-,スタンダード,貸借
8070,東京産業,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8074,ＹＵＡＳＡ,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8075,神鋼商事,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8076,カノークス,商社・卸売,卸売業,-,スタンダード,貸借
8077,トルク,商社・卸売,卸売業,-,スタンダード,貸借
8078,阪和興業,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8079,正栄食品工業,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8081,カナデン,商社・卸売,卸売業,TOPIX Small 2,プライム,信用
8084,ＲＹＯＤＥＮ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8085,ナラサキ産業,商社・卸売,卸売業,-,スタンダード,信用
8086,ニプロ,電機・精密,精密機器,TOPIX Mid400,プライム,貸借
8088,岩谷産業,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
8089,ナイス,商社・卸売,卸売業,-,スタンダード,貸借
8091,ニチモウ,商社・卸売,卸売業,-,プライム,貸借
8093,極東貿易,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8095,アステナホールディングス,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8097,三愛オブリ,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8098,稲畑産業,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8101,ＧＳＩクレオス,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8103,明和産業,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8104,クワザワホールディングス,商社・卸売,卸売業,-,スタンダード,信用
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,商社・卸売,卸売業,-,スタンダード,信用
8107,キムラタン,素材・化学,繊維製品,-,スタンダード,貸借
8111,ゴールドウイン,素材・化学,繊維製品,TOPIX Mid400,プライム,貸借
8113,ユニ・チャーム,素材・化学,化学,TOPIX Large70,プライム,貸借
8115,ムーンバット,商社・卸売,卸売業,-,スタンダード,貸借
8117,中央自動車工業,商社・卸売,卸売業,-,スタンダード,貸借
8118,キング,素材・化学,繊維製品,-,スタンダード,貸借
8119,三栄コーポレーション,商社・卸売,卸売業,-,スタンダード,信用
8123,川辺,商社・卸売,卸売業,-,スタンダード,信用
8125,ワキタ,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8127,ヤマトインターナショナル,素材・化学,繊維製品,-,スタンダード,貸借
8129,東邦ホールディングス,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
8130,サンゲツ,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8131,ミツウロコグループホールディングス,商社・卸売,卸売業,TOPIX Small 2,スタンダード,貸借
8132,シナネンホールディングス,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8133,伊藤忠エネクス,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8135,ゼット,商社・卸売,卸売業,-,スタンダード,信用
8136,サンリオ,商社・卸売,卸売業,TOPIX Mid400,プライム,貸借
8137,サンワテクノス,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8138,三京化成,商社・卸売,卸売業,-,スタンダード,信用
8139,ナガホリ,商社・卸売,卸売業,-,スタンダード,貸借
8141,新光商事,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8142,トーホー,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8143,ラピーヌ,素材・化学,繊維製品,-,スタンダード,信用
8144,デンキョーグループホールディングス,商社・卸売,卸売業,-,スタンダード,信用
8147,トミタ,商社・卸売,卸売業,-,スタンダード,信用
8150,三信電気,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8151,東陽テクニカ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8152,ソマール,商社・卸売,卸売業,-,スタンダード,信用
8153,モスフードサービス,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8154,加賀電子,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
8157,都築電気,情報通信・サービスその他,情報･通信業,TOPIX Small 2,プライム,貸借
8158,ソーダニッカ,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8159,立花エレテック,商社・卸売,卸売業,TOPIX Small 2,プライム,貸借
8160,木曽路,小売,小売業,TOPIX Small 1,プライム,貸借
8163,ＳＲＳホールディングス,小売,小売業,TOPIX Small 2,プライム,貸借
8165,千趣会,小売,小売業,TOPIX Small 2,スタンダード,貸借
8166,タカキュー,小売,小売業,-,スタンダード,信用
8167,リテールパートナーズ,小売,小売業,TOPIX Small 2,プライム,貸借
8173,Ｊｏｓｈｉｎ,小売,小売業,TOPIX Small 1,プライム,貸借
8174,日本瓦斯,小売,小売業,TOPIX Mid400,プライム,貸借
8179,ロイヤルホールディングス,小売,小売業,TOPIX Small 1,プライム,貸借
8181,東天紅,小売,小売業,-,スタンダード,信用
8185,チヨダ,小売,小売業,TOPIX Small 2,プライム,貸借
8194,ライフコーポレーション,小売,小売業,TOPIX Small 1,プライム,貸借
8198,マックスバリュ東海,小売,小売業,-,スタンダード,信用
8200,リンガーハット,小売,小売業,TOPIX Small 1,プライム,貸借
8202,ラオックスホールディングス,小売,小売業,-,スタンダード,貸借
8203,ＭｒＭａｘＨＤ,小売,小売業,TOPIX Small 2,プライム,貸借
8207,テンアライド,小売,小売業,-,スタンダード,信用
8214,ＡＯＫＩホールディングス,小売,小売業,TOPIX Small 1,プライム,貸借
8217,オークワ,小売,小売業,TOPIX Small 2,プライム,貸借
8218,コメリ,小売,小売業,TOPIX Small 1,プライム,貸借
8219,青山商事,小売,小売業,TOPIX Small 1,プライム,貸借
8225,タカチホ,商社・卸売,卸売業,-,スタンダード,信用
8226,理経,商社・卸売,卸売業,-,スタンダード,信用
8227,しまむら,小売,小売業,TOPIX Mid400,プライム,貸借
8230,はせがわ,小売,小売業,-,スタンダード,貸借
8233,高島屋,小売,小売業,TOPIX Mid400,プライム,貸借
8237,松屋,小売,小売業,TOPIX Small 1,プライム,貸借
8242,エイチ・ツー・オー　リテイリング,小売,小売業,TOPIX Mid400,プライム,貸借
8244,近鉄百貨店,小売,小売業,TOPIX Small 2,スタンダード,貸借
8247,大和,小売,小売業,-,スタンダード,信用
8252,丸井グループ,小売,小売業,TOPIX Mid400,プライム,貸借
8253,クレディセゾン,金融（除く銀行）,その他金融業,TOPIX Mid400,プライム,貸借
8254,さいか屋,小売,小売業,-,スタンダード,貸借
8255,アクシアル　リテイリング,小売,小売業,TOPIX Small 2,プライム,貸借
