code,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm
1301,極洋,食品,水産・農林業,TOPIX Small 1,プライム,貸借
1305,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,その他,その他,-,その他,貸借
1306,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,その他,その他,-,その他,貸借
1308,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＴＯＰＩＸ,その他,その他,-,その他,貸借
1309,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,その他,その他,-,その他,貸借
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,医薬品,-,グロース,信用
1311,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,その他,その他,-,その他,貸借
1319,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,その他,その他,-,その他,貸借
131A,ＣＣＮグループ,情報通信・サービスその他,情報･通信業,-,TOKYO PRO MARKET,その他
1320,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,その他,その他,-,その他,貸借
1321,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,その他,その他,-,その他,貸借
1322,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,その他,その他,-,その他,貸借
1325,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,その他,その他,-,その他,貸借
1326,ワールド・ゴールド・トラスト・サービシズ・エルエルシー　ＳＰＤＲゴールド・シェア,その他,その他,-,その他,貸借
1328,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,その他,その他,-,その他,貸借
1329,ブラックロック・ジャパン株式会社　　ｉシェアーズ・コア　日経２２５　ＥＴＦ,その他,その他,-,その他,貸借
132A,アイエヌホールディングス,運輸・物流,陸運業,-,TOKYO PRO MARKET,その他
1330,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド２２５,その他,その他,-,その他,貸借
1332,ニッスイ,食品,水産・農林業,TOPIX Mid400,プライム,貸借
1333,Ｕｍｉｏｓ,食品,水産・農林業,TOPIX Mid400,プライム,貸借
133A,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社　グローバルＸ　超短期米国債　ＥＴＦ,その他,その他,-,その他,貸借
1343,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,その他,その他,-,その他,貸借
1345,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,その他,その他,-,その他,貸借
1346,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　日経２２５上場投信,その他,その他,-,その他,貸借
1348,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　トピックス上場投信,その他,その他,-,その他,貸借
1349,ステート・ストリート・グローバル・アドバイザーズ・シンガポール・リミテッド　ＡＢＦ汎アジア債券インデックス・ファンド,その他,その他,-,その他,貸借
134A,アプライズ,情報通信・サービスその他,サービス業,-,TOKYO PRO MARKET,その他
1356,シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸベア２倍上場投信,その他,その他,-,その他,貸借
1357,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,その他,その他,-,その他,貸借
1358,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド日経レバレッジ指数,その他,その他,-,その他,貸借
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報通信・サービスその他,情報･通信業,-,グロース,貸借
1360,シンプレクス・アセット・マネジメント株式会社　日経平均ベア２倍上場投信,その他,その他,-,その他,貸借
1364,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,その他,その他,-,その他,貸借
1365,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,その他,その他,-,その他,貸借
1366,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,その他,その他,-,その他,貸借
1367,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,その他,その他,-,その他,貸借
1368,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（−２倍）指数,その他,その他,-,その他,貸借
1369,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　日経２２５,その他,その他,-,その他,貸借
1375,ユキグニファクトリー,食品,水産・農林業,TOPIX Small 2,プライム,信用
1376,カネコ種苗,食品,水産・農林業,TOPIX Small 2,スタンダード,信用
1377,サカタのタネ,食品,水産・農林業,TOPIX Small 1,プライム,貸借
1379,ホクト,食品,水産・農林業,TOPIX Small 2,プライム,貸借
137A,Ｃｏｃｏｌｉｖｅ,情報通信・サービスその他,情報･通信業,-,グロース,信用
1380,秋川牧園,食品,水産・農林業,-,スタンダード,信用
1381,アクシーズ,食品,水産・農林業,-,スタンダード,信用
1382,ホーブ,食品,水産・農林業,-,スタンダード,その他
1383,ベルグアース,食品,水産・農林業,-,スタンダード,信用
1384,ホクリヨウ,食品,水産・農林業,-,スタンダード,信用
138A,光フードサービス,小売,小売業,-,グロース,信用
1397,三井住友ＤＳアセットマネジメント株式会社　ＳＭＤＡＭ　日経２２５上場投信,その他,その他,-,その他,貸借
1398,三井住友ＤＳアセットマネジメント株式会社　ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,その他,その他,-,その他,貸借
1399,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,その他,その他,-,その他,貸借
139A,東日本地所,不動産,不動産業,-,TOKYO PRO MARKET,その他
1401,エムビーエス,建設・資材,建設業,-,グロース,信用
1407,ウエストホールディングス,建設・資材,建設業,-,スタンダード,貸借
140A,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,その他,その他,-,その他,貸借
1414,ショーボンドホールディングス,建設・資材,建設業,TOPIX Mid400,プライム,貸借
1417,ミライト・ワン,建設・資材,建設業,TOPIX Mid400,プライム,貸借
1418,インターライフホールディングス,建設・資材,建設業,-,スタンダード,貸借
1419,タマホーム,建設・資材,建設業,TOPIX Small 1,プライム,貸借
141A,トライアルホールディングス,小売,小売業,-,グロース,貸借
1420,サンヨーホームズ,建設・資材,建設業,-,スタンダード,貸借
1429,日本アクア,建設・資材,建設業,-,プライム,貸借
142A,ジンジブ,情報通信・サービスその他,サービス業,-,グロース,信用
1430,ファーストコーポレーション,建設・資材,建設業,-,スタンダード,貸借
1431,Ｌｉｂ　Ｗｏｒｋ,建設・資材,建設業,-,グロース,貸借
1432,動力,建設・資材,建設業,-,TOKYO PRO MARKET,その他
1433,ベステラ,建設・資材,建設業,-,プライム,貸借
1434,ＪＥＳＣＯホールディングス,建設・資材,建設業,-,スタンダード,貸借
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産,不動産業,TOPIX Small 2,スタンダード,信用
1436,グリーンエナジー＆カンパニー,建設・資材,建設業,-,グロース,信用
1438,岐阜造園,建設・資材,建設業,-,スタンダード,信用
143A,イシン,情報通信・サービスその他,サービス業,-,グロース,信用
1443,技研ホールディングス,建設・資材,建設業,-,スタンダード,信用
1444,ニッソウ,建設・資材,建設業,-,グロース,信用
1445,ひかりホールディングス,建設・資材,建設業,-,TOKYO PRO MARKET,その他
1446,キャンディル,建設・資材,建設業,-,スタンダード,貸借
1447,ＳＡＡＦホールディングス,建設・資材,建設業,-,グロース,信用
144A,エネルギーパワー,建設・資材,建設業,-,TOKYO PRO MARKET,その他
1450,ＴＡＮＡＫＥＮ,建設・資材,建設業,-,スタンダード,信用
1452,横浜ライト工業,建設・資材,建設業,-,TOKYO PRO MARKET,その他
1456,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,その他,その他,-,その他,貸借
1457,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（−１倍）指数,その他,その他,-,その他,貸借
1458,楽天投信投資顧問株式会社　楽天ＥＴＦ‐日経レバレッジ指数連動型,その他,その他,-,その他,貸借
1459,楽天投信投資顧問株式会社　楽天ＥＴＦ‐日経ダブルインバース指数連動型,その他,その他,-,その他,貸借
145A,Ｌ　ｉｓ　Ｂ,情報通信・サービスその他,情報･通信業,-,グロース,信用
1466,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,その他,その他,-,その他,貸借
1469,シンプレクス・アセット・マネジメント株式会社　ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,その他,その他,-,その他,貸借
146A,コロンビア・ワークス,不動産,不動産業,-,スタンダード,信用
1472,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,その他,その他,-,その他,貸借
1473,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　トピックス,その他,その他,-,その他,貸借
1474,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,その他,その他,-,その他,貸借
1475,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,その他,その他,-,その他,貸借
1476,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　Ｊリート　ＥＴＦ,その他,その他,-,その他,貸借
1477,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,その他,その他,-,その他,貸借
1478,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,その他,その他,-,その他,貸借
1479,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,その他,その他,-,その他,貸借
147A,ソラコム,情報通信・サービスその他,情報･通信業,-,グロース,貸借
1480,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,その他,その他,-,その他,貸借
1481,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド日本経済貢献株,その他,その他,-,その他,貸借
1482,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　米国債７−１０年　ＥＴＦ（為替ヘッジあり）,その他,その他,-,その他,貸借
1483,ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,その他,その他,-,その他,貸借
1484,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,その他,その他,-,その他,貸借
1485,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,その他,その他,-,その他,貸借
1486,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド米国債券（為替ヘッジなし）,その他,その他,-,その他,貸借
1487,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド米国債券（為替ヘッジあり）,その他,その他,-,その他,貸借
1488,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,その他,その他,-,その他,貸借
1489,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,その他,その他,-,その他,貸借
148A,ハッチ・ワーク,情報通信・サービスその他,情報･通信業,-,グロース,信用
1490,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,その他,その他,-,その他,貸借
1491,中外鉱業,鉄鋼・非鉄,非鉄金属,-,スタンダード,信用
1493,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,その他,その他,-,その他,貸借
1494,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　高配当日本株,その他,その他,-,その他,貸借
1495,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドアジアリート,その他,その他,-,その他,貸借
1496,ブラックロック・ジャパン株式会社　ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,その他,その他,-,その他,貸借
1497,ブラックロック・ジャパン株式会社　ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,その他,その他,-,その他,貸借
1498,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　ＥＳＧ,その他,その他,-,その他,貸借
1499,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,その他,その他,-,その他,貸借
149A,シンカ,情報通信・サービスその他,情報･通信業,-,グロース,信用
150A,ＪＳＨ,情報通信・サービスその他,サービス業,-,グロース,信用
1514,住石ホールディングス,エネルギー資源,鉱業,TOPIX Small 2,スタンダード,貸借
1515,日鉄鉱業,エネルギー資源,鉱業,TOPIX Small 1,プライム,貸借
1518,三井松島ホールディングス,情報通信・サービスその他,その他製品,TOPIX Small 1,プライム,貸借
151A,ダイブグループ,情報通信・サービスその他,サービス業,-,グロース,信用
152A,オプティ,商社・卸売,卸売業,-,TOKYO PRO MARKET,その他
153A,カウリス,情報通信・サービスその他,情報･通信業,-,グロース,貸借
1540,三菱ＵＦＪ信託銀行株式会社　純金上場信託（現物国内保管型）,その他,その他,-,その他,貸借
1541,三菱ＵＦＪ信託銀行株式会社　純プラチナ上場信託（現物国内保管型）,その他,その他,-,その他,貸借
1542,三菱ＵＦＪ信託銀行株式会社　純銀上場信託（現物国内保管型）,その他,その他,-,その他,貸借
1543,三菱ＵＦＪ信託銀行株式会社　純パラジウム上場信託（現物国内保管型）,その他,その他,-,その他,貸借
1545,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ−１００（為替ヘッジなし）連動型上場投信,その他,その他,-,その他,貸借
1546,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,その他,その他,-,その他,貸借
1547,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,その他,その他,-,その他,貸借
154A,ＧＡＩＡ,金融（除く銀行）,その他金融業,-,TOKYO PRO MARKET,その他
1550,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,その他,その他,-,その他,貸借
1551,シンプレクス・アセット・マネジメント株式会社　東証スタンダードＴＯＰ２０ＥＴＦ,その他,その他,-,その他,貸借
1554,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,その他,その他,-,その他,貸借
1555,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ−ＲＥＩＴ）,その他,その他,-,その他,貸借
1557,ステート・ストリート・グローバル・アドバイザーズ・トラスト・カンパニー　Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,その他,その他,-,その他,貸借
1559,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,その他,その他,-,その他,貸借
155A,情報戦略テクノロジー,情報通信・サービスその他,情報･通信業,-,グロース,貸借
1560,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,その他,その他,-,その他,貸借
1563,シンプレクス・アセット・マネジメント株式会社　東証グロース・コアＥＴＦ,その他,その他,-,その他,貸借
1566,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド新興国債券,その他,その他,-,その他,貸借
1568,シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸブル２倍上場投信,その他,その他,-,その他,貸借
1569,シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸベア上場投信,その他,その他,-,その他,貸借
156A,マテリアルグループ,情報通信・サービスその他,サービス業,-,グロース,貸借
1570,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ日経平均レバレッジ・インデックス連動型上場投信,その他,その他,-,その他,貸借
1571,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ日経平均インバース・インデックス連動型上場投信,その他,その他,-,その他,貸借
1572,シンプレクス・アセット・マネジメント株式会社　中国Ｈ株ブル２倍上場投信,その他,その他,-,その他,貸借
1573,シンプレクス・アセット・マネジメント株式会社　中国Ｈ株ベア上場投信,その他,その他,-,その他,貸借
1577,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,その他,その他,-,その他,貸借
1578,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド日経２２５（ミニ）,その他,その他,-,その他,貸借
1579,シンプレクス・アセット・マネジメント株式会社　日経平均ブル２倍上場投信,その他,その他,-,その他,貸借
157A,グリーンモンスター,情報通信・サービスその他,サービス業,-,グロース,信用
1580,シンプレクス・アセット・マネジメント株式会社　日経平均ベア上場投信,その他,その他,-,その他,貸借
1585,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ−Ｆｉｎａｎｃｉａｌｓ,その他,その他,-,その他,貸借
1586,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＴＯＰＩＸ　Ｅｘ−Ｆｉｎａｎｃｉａｌｓ,その他,その他,-,その他,貸借
158A,エクセリ,小売,小売業,-,TOKYO PRO MARKET,その他
1591,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,その他,その他,-,その他,貸借
1592,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＪＰＸ日経インデックス４００,その他,その他,-,その他,貸借
1593,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,その他,その他,-,その他,貸借
1595,農林中金全共連アセットマネジメント株式会社　ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,その他,その他,-,その他,貸借
1596,農林中金全共連アセットマネジメント株式会社　ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ−Ｆｉｎａｎｃｉａｌｓ,その他,その他,-,その他,貸借
1597,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　Ｊリート上場投信,その他,その他,-,その他,貸借
1599,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,その他,その他,-,その他,貸借
159A,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,その他,その他,-,その他,貸借
1605,ＩＮＰＥＸ,エネルギー資源,鉱業,TOPIX Mid400,プライム,貸借
160A,アズパートナーズ,情報通信・サービスその他,サービス業,-,スタンダード,信用
1615,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,その他,その他,-,その他,貸借
1617,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1618,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1619,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
161A,三葉,情報通信・サービスその他,サービス業,-,TOKYO PRO MARKET,その他
1620,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1621,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1622,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1623,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1624,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1625,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1626,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1627,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1628,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1629,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
162A,三菱ＵＦＪ証券ホールディングス株式会社　ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,その他,その他,-,その他,信用
1630,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1631,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1632,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
1633,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ−１７）上場投信,その他,その他,-,その他,貸借
163A,三菱ＵＦＪ証券ホールディングス株式会社　半導体フォーカス　日本株（ネットリターン）ＥＴＮ,その他,その他,-,その他,信用
164A,アップルパーク,不動産,不動産業,-,TOKYO PRO MARKET,その他
1651,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,その他,その他,-,その他,貸借
1652,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,その他,その他,-,その他,貸借
1653,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,その他,その他,-,その他,貸借
1654,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,その他,その他,-,その他,貸借
1655,ブラックロック・ジャパン株式会社　ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,その他,その他,-,その他,貸借
1656,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　米国債７−１０年　ＥＴＦ,その他,その他,-,その他,貸借
1657,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,その他,その他,-,その他,貸借
1658,ブラックロック・ジャパン株式会社　ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,その他,その他,-,その他,貸借
1659,ブラックロック・ジャパン株式会社　ｉシェアーズ　米国リート　ＥＴＦ,その他,その他,-,その他,貸借
1660,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ高利回りＪリート上場投信,その他,その他,-,その他,貸借
1662,石油資源開発,エネルギー資源,鉱業,TOPIX Small 1,プライム,貸借
1663,Ｋ＆Ｏエナジーグループ,エネルギー資源,鉱業,TOPIX Small 1,プライム,貸借
166A,タスキホールディングス,不動産,不動産業,TOPIX Small 2,プライム,貸借
1671,シンプレクス・アセット・マネジメント株式会社　ＷＴＩ原油価格連動型上場投信,その他,その他,-,その他,貸借
1672,ウィズダムツリー・メタル・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,その他,その他,-,その他,貸借
1673,ウィズダムツリー・メタル・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,その他,その他,-,その他,貸借
1674,ウィズダムツリー・メタル・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,その他,その他,-,その他,貸借
1675,ウィズダムツリー・メタル・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,その他,その他,-,その他,貸借
1676,ウィズダムツリー・メタル・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,その他,その他,-,その他,貸借
1677,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,その他,その他,-,その他,貸借
1678,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,その他,その他,-,その他,貸借
1679,シンプレクス・アセット・マネジメント株式会社　Ｓｉｍｐｌｅ−Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,その他,その他,-,その他,貸借
167A,リョーサン菱洋ホールディングス,商社・卸売,卸売業,TOPIX Small 1,プライム,貸借
1680,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド海外先進国株式（ＭＳＣＩ−ＫＯＫＵＳＡＩ）,その他,その他,-,その他,貸借
1681,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,その他,その他,-,その他,貸借
1684,ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,その他,その他,-,その他,貸借
1685,ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,その他,その他,-,その他,貸借
1686,ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,その他,その他,-,その他,貸借
1687,ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,その他,その他,-,その他,貸借
1688,ウィズダムツリー・コモディティ・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,その他,その他,-,その他,貸借
