分類,テーマ,メッセージ,参考URL,文章
仕事術,,良い上司は、いつ話しかけても良い雰囲気,https://x.com/KenTana2020/status/1831988209024377339,【絶対に良い上司】いつ話しかけにいっても良い安心感がある　【最悪な上司】話しかけるタイミングを見計らうだけでメンタル擦り切れる　この差だけで会社生活が180°変わる
仕事術,,大人なら愚痴をこぼすな,https://x.com/chokyori_tsukin/status/1833099643741151680,社会人してたらわかりますが、幼稚な人間ほど愚痴ばかり言い、大人な人間は余計な口を開かない。残念ながら、社会に出ると子供のまま大きくなった大人がたくさんいるし、彼らは大人の陰湿さも児え備えたモンスターになってる。こういう人が少ない職場で働くだけで、だいぶストレスレベルは下がる。
仕事術,,意思決定は早く、悩む時間を少なくしろ,https://x.com/chokyori_tsukin/status/1830710088644075566,仕事の早い人の大半が、頭の回転が早いだとか、作業効率が良いとかではなく、『意思決定が早く悩む時間が少ない』のであると思います。
仕事術,,管理職は自分の感情を管理しろ,https://x.com/chokyori_tsukin/status/1830360020174979141,仕事ができる管理職ってたくさんいますけど、『自分の感情を管理できない管理職』で仕事ができる人ってみたことがない。
仕事術,,嫌いな人にでも態度を変えるな,,
仕事術,,ビジネスとしてFBする前に、人と人との信頼関係,https://x.com/chokyori_tsukin/status/1829673029313708333,正直なところ「信頼関係を築けてない人に何を言ってもムダ」です。残念ながら人間は見たいものしか見えないので、心を開いてない他人にいくら正論を言われても響かない。『アイツは言うことを聞かない』と思う人も多いですが、実際は貴方が信用されていないだけ。
仕事術,,仕事で正論を主張するな,https://x.com/chokyori_tsukin/status/1828004723619774739,30代になって気づきましたが「仕事で正論を強く主張」するのはやめておいた方が良い。会社というのは、自分が正しいことを主張する場所ではなく、様々な部門が集まり最適解で進めていく場所。言い返せないくらい正論で言い負かせても、その場は満足するかもしれないが、今後がやりにくくなる。
仕事術,,不必要な仕事をマジメに頑張る人は害がある,https://x.com/chokyori_tsukin/status/1822899625034141798,正直なところ、仕事をサボる人間よりも、不必要な仕事を生真面目に頑張る人間のほうが、組織にとって害があったりする。
仕事術,,大手企業で評価されるためには、雰囲気も大事,https://x.com/chokyori_tsukin/status/1822758521332719813,社会人をやってると、真面目に仕事に取り組んで細かいところまで掘り下げる人よりも、見せ方が上手なそれっぽいアウトプットを出す方が評価されることもあり、所詰評価など『雰囲気』なんだとつくづく思う。
仕事術,,嫌いな人との関係は断捨離した方が幸せになる,https://x.com/chokyori_tsukin/status/1822235784629411930,あまりリアルでは言えないが、正直なところ『人とのご縁を大切にする』なんかよりも、『不要な縁はガンガン切っていく』方がよっぽど人生の幸福度が高い。
仕事術,,「相手の時間を奪う」感覚がないのはやばい,https://x.com/chokyori_tsukin/status/1815137890462306719,私もやってしまいがちですが、「相手の時間を契っている」という感覚が乏しい人ほど、仕事ができないと思います。何を話したいのか、方針決めなのか議論なのか、内容もごちゃ混ぜで、『相談』という都合の良い単語を持ち出し、人の時間を契う人間に人は寄ってきません。同僚は上司は友達でない。
仕事術,,人には活躍できる場所、できない場所がある,https://x.com/chokyori_tsukin/status/1812073592286482753,社会人をしていれば大体の人は経験あるかもしれませんが『お前は使えねえ！』と言われていた人でも、上司が変わった途端に『君のパフォーマンスは素晴らしい』とめられるようになることもあるので、評価など所詰『雰囲気』なのだと思う。
仕事術,,相手から聞かれるまでは話しすぎるな,https://x.com/chokyori_tsukin/status/1805899525296718219,2回転職をして思いましたが、相手から聞かれるまでは話しすぎない方が良い。
仕事術,,「やる気のある無能」が一番やばい,https://x.com/chokyori_tsukin/status/1795222588748112131,なぜこの人が課長？という人がいるけど「やる気ある無能」タイプが多い。無能だがコミュ力高く、的外れでもハキハキ発言できる。それ故、お偶いさんから「出来が悪いが頑張る後輩」と評価も良く、しかも自分のポジションを脅かされないし都合の良い子分に。彼らの部下になったらマジで詰みます。
仕事術,,上司に「あの件どうなった？」と言われたらアウト,https://x.com/takitakitakii14/status/1833782719341646199,上司がふと思い出したように「あの件どうなった？」と聞いてきたときはただの進捗確認ではなく「なんでまだ報告がないの？お前一体どうなってだよ」という赤に近いイエローカードの可能性が極めて高いので危機感を持ちましょう。
組織,,言いにくい報告をできるのが良い組織,https://x.com/chokyori_tsukin/status/1836145315067629746,悪い報告をすると怒られる組織って、駄目になる組織だと思う。
仕事術,,名前を一発で覚える,https://x.com/nekosukexx/status/1836318318942392642,28才）、・名前を一発で覚える・報告のタイミングが早い・「なんでもやります！」精神・初日から価値を出そうとするのも良いが、一番「スゴイな」と思ったのは…『初日から改善点を提案してくるのに、まったく嫌な印象はない』ことだった。本人は「人の協力を得るのが得意」とのことだが、まさにその通りだった。
,,真面目すぎると病みやすい,https://x.com/nekosukexx/status/1833833540414476699,...▼病みやすい人　▼常にゴキゲンな人　・上司の意見は絶対　・上司を殴りたい　・依頼を断れない　・Noと言える　・人の話を聞ける　・基本的に話を聞いてない　・ストレスは蓄積　・寝たらリセット　・期待に応えたい　・自分が好きなことをやる
,,小さな論点で意見が合わないとき、わざと相手に譲る,https://x.com/nekosukexx/status/1832727334815936570,28才）、・論理の漏れがない・結論から回答できる・難しい問題をシンプルにできる・頭の回転が速いのもあるが、一番「頭イイな」と思ったのは.....「小さな論点で意見が合わないとき、わざと相手に譲ってる」場面を見たとき。本人は「議論のポイントを押さえるのが得意」とのことだが、あまりにも納得だった。
,,正当に評価される環境が大事,https://x.com/nekosukexx/status/1831257433160974369,"2,500万・男性の育休取得「必須」・20時以降の残業禁止・朝食は無料ではなく、それよりも....「成果を出せば、正当に評価される」環境だと思う。ただ伊藤忠は素直に羨ましい。"
,,まずやってみてから改善するのが早い,https://x.com/nekosukexx/status/1825000171400527978,成果を出す人って、リアルにこんな感じ。【成果を出す人】やってみる→できない箇所が分かる→勉強する　【できない人】勉強する→準備する→やってみる
,,努力は熱狂に勝てない,,
